sampleID,condition
W340753,mTEC-IV
W340755,mTEC-IV
W340764,mTEC-IV
W340765,mTEC-IV
W340771,mTEC-IV
W340772,mTEC-IV
W340775,mTEC-IV
W340778,mTEC-IV
W340779,mTEC-IV
W340784,mTEC-IV
W340786,mTEC-IV
W340791,mTEC-IV
W340794,mTEC-IV
W340799,mTEC-IV
W340803,mTEC-IV
W340808,mTEC-IV
W340810,mTEC-IV
W340816,mTEC-IV
W340244,mTEC-IV
W340247,mTEC-IV
W340253,mTEC-IV
W340256,mTEC-IV
W340259,mTEC-IV
W340262,mTEC-IV
W340263,mTEC-IV
W340270,mTEC-IV
W340272,mTEC-IV
W340275,mTEC-IV
W340278,mTEC-IV
W340279,mTEC-IV
W340283,mTEC-IV
W340286,mTEC-IV
W340299,mTEC-IV
W340300,mTEC-IV
W340302,mTEC-IV
W340306,mTEC-IV
W340312,mTEC-IV
W340316,mTEC-IV
W340322,mTEC-IV
W340324,mTEC-IV
W340331,mTEC-IV
W340335,mTEC-IV
W340336,mTEC-IV
W340340,mTEC-IV
W340342,mTEC-IV
W340343,mTEC-IV
W340346,mTEC-IV
W340347,mTEC-IV
W340348,mTEC-IV
W340350,mTEC-IV
W340351,mTEC-IV
W340352,mTEC-IV
W340355,mTEC-IV
W340359,mTEC-IV
W340361,mTEC-IV
W340362,mTEC-IV
W340363,mTEC-IV
W340365,mTEC-IV
W340366,mTEC-IV
W340368,mTEC-IV
W340370,mTEC-IV
W340371,mTEC-IV
W340377,mTEC-IV
W340378,mTEC-IV
W340380,mTEC-IV
W340383,mTEC-IV
W340384,mTEC-IV
W340385,mTEC-IV
W340390,mTEC-IV
W340392,mTEC-IV
W340399,mTEC-IV
W340400,mTEC-IV
W340402,mTEC-IV
W340405,mTEC-IV
W340410,mTEC-IV
W340413,mTEC-IV
W340415,mTEC-IV
W340416,mTEC-IV
W340418,mTEC-IV
W340420,mTEC-IV
W340424,mTEC-IV
W340426,mTEC-IV
W340427,mTEC-IV
W340428,mTEC-IV
W340429,mTEC-IV
W340430,mTEC-IV
W340050,mTEC-IV
W340051,mTEC-IV
W340052,mTEC-IV
W340054,mTEC-IV
W340059,mTEC-IV
W340060,mTEC-IV
W340061,mTEC-IV
W340063,mTEC-IV
W340064,mTEC-IV
W340067,mTEC-IV
W340068,mTEC-IV
W340070,mTEC-IV
W340074,mTEC-IV
W340078,mTEC-IV
W340082,mTEC-IV
W340083,mTEC-IV
W340087,mTEC-IV
W340088,mTEC-IV
W340090,mTEC-IV
W340098,mTEC-IV
W340101,mTEC-IV
W340104,mTEC-IV
W340108,mTEC-IV
W340109,mTEC-IV
W340112,mTEC-IV
W340113,mTEC-IV
W340115,mTEC-IV
W340118,mTEC-IV
W340125,mTEC-IV
W340128,mTEC-IV
W340129,mTEC-IV
W340131,mTEC-IV
W340133,mTEC-IV
W340136,mTEC-IV
W340138,mTEC-IV
W340139,mTEC-IV
W340141,mTEC-IV
W340146,mTEC-IV
W340150,mTEC-IV
W340153,mTEC-IV
W340156,mTEC-IV
W340161,mTEC-IV
W340164,mTEC-IV
W340171,mTEC-IV
W340173,mTEC-IV
W340177,mTEC-IV
W340182,mTEC-IV
W340183,mTEC-IV
W340186,mTEC-IV
W340190,mTEC-IV
W340192,mTEC-IV
W340204,mTEC-IV
W340213,mTEC-IV
W340214,mTEC-IV
W340216,mTEC-IV
W340219,mTEC-IV
W340228,mTEC-IV
W340229,mTEC-IV
W340236,mTEC-IV
W340238,mTEC-IV
W339859,mTEC-IV
W339860,mTEC-IV
W339866,mTEC-IV
W339870,mTEC-IV
W339876,mTEC-IV
W339882,mTEC-IV
W339885,mTEC-IV
W339891,mTEC-IV
W339894,mTEC-IV
W339895,mTEC-IV
W339901,mTEC-IV
W339903,mTEC-IV
W339905,mTEC-IV
W339909,mTEC-IV
W339910,mTEC-IV
W339914,mTEC-IV
W339915,mTEC-IV
W339916,mTEC-IV
W339917,mTEC-IV
W339918,mTEC-IV
W339920,mTEC-IV
W339924,mTEC-IV
W339932,mTEC-IV
W339935,mTEC-IV
W339936,mTEC-IV
W339940,mTEC-IV
W339945,mTEC-IV
W339959,mTEC-IV
W339961,mTEC-IV
W339978,mTEC-IV
W339980,mTEC-IV
W339985,mTEC-IV
W339992,mTEC-IV
W339993,mTEC-IV
W339994,mTEC-IV
W339997,mTEC-IV
W339998,mTEC-IV
W339999,mTEC-IV
W340009,mTEC-IV
W340010,mTEC-IV
W340014,mTEC-IV
W340019,mTEC-IV
W340024,mTEC-IV
W340026,mTEC-IV
W340029,mTEC-IV
W340031,mTEC-IV
W340032,mTEC-IV
W340035,mTEC-IV
W340036,mTEC-IV
W340037,mTEC-IV
W340041,mTEC-IV
W340045,mTEC-IV
W339666,mTEC-IV
W339668,mTEC-IV
W339669,mTEC-IV
W339670,mTEC-IV
W339678,mTEC-IV
W339685,mTEC-IV
W339689,mTEC-IV
W339690,mTEC-IV
W339691,mTEC-IV
W339696,mTEC-IV
W339701,mTEC-IV
W339703,mTEC-IV
W339704,mTEC-IV
W339706,mTEC-IV
W339711,mTEC-IV
W339712,mTEC-IV
W339713,mTEC-IV
W339714,mTEC-IV
W339723,mTEC-IV
W339724,mTEC-IV
W339725,mTEC-IV
W339728,mTEC-IV
W339730,mTEC-IV
W339731,mTEC-IV
W339735,mTEC-IV
W339737,mTEC-IV
W339738,mTEC-IV
W339739,mTEC-IV
W339741,mTEC-IV
W339742,mTEC-IV
W339743,mTEC-IV
W339745,mTEC-IV
W339746,mTEC-IV
W339748,mTEC-IV
W339749,mTEC-IV
W339756,mTEC-IV
W339758,mTEC-IV
W339770,mTEC-IV
W339772,mTEC-IV
W339776,mTEC-IV
W339778,mTEC-IV
W339785,mTEC-IV
W339797,mTEC-IV
W339800,mTEC-IV
W339801,mTEC-IV
W339805,mTEC-IV
W339811,mTEC-IV
W339813,mTEC-IV
W339814,mTEC-IV
W339815,mTEC-IV
W339825,mTEC-IV
W339828,mTEC-IV
W339837,mTEC-IV
W339838,mTEC-IV
W339840,mTEC-IV
W339842,mTEC-IV
W339848,mTEC-IV
W314901,mTEC-IV
W314903,mTEC-IV
W314906,mTEC-IV
W314908,mTEC-IV
W314910,mTEC-IV
W314912,mTEC-IV
W314913,mTEC-IV
W314914,mTEC-IV
W314916,mTEC-IV
W314920,mTEC-IV
W314922,mTEC-IV
W314923,mTEC-IV
W314924,mTEC-IV
W314925,mTEC-IV
W314926,mTEC-IV
W314927,mTEC-IV
W314928,mTEC-IV
W314929,mTEC-IV
W314930,mTEC-IV
W314931,mTEC-IV
W314932,mTEC-IV
W314934,mTEC-IV
W314935,mTEC-IV
W314937,mTEC-IV
W314939,mTEC-IV
W314941,mTEC-IV
W314942,mTEC-IV
W314943,mTEC-IV
W314944,mTEC-IV
W314945,mTEC-IV
W314946,mTEC-IV
W314947,mTEC-IV
W314949,mTEC-IV
W314951,mTEC-IV
W314952,mTEC-IV
W314955,mTEC-IV
W314957,mTEC-IV
W314958,mTEC-IV
W314960,mTEC-IV
W314961,mTEC-IV
W314962,mTEC-IV
W314963,mTEC-IV
W314964,mTEC-IV
W314965,mTEC-IV
W314966,mTEC-IV
W314968,mTEC-IV
W314969,mTEC-IV
W314971,mTEC-IV
W314972,mTEC-IV
W314974,mTEC-IV
W314976,mTEC-IV
W314977,mTEC-IV
W314984,mTEC-IV
W314986,mTEC-IV
W314990,mTEC-IV
W314991,mTEC-IV
W314998,mTEC-IV
W315001,mTEC-IV
W315002,mTEC-IV
W315003,mTEC-IV
W315005,mTEC-IV
W315007,mTEC-IV
W315009,mTEC-IV
W315010,mTEC-IV
W315013,mTEC-IV
W315014,mTEC-IV
W315016,mTEC-IV
W315017,mTEC-IV
W315019,mTEC-IV
W315020,mTEC-IV
W315022,mTEC-IV
W315024,mTEC-IV
W315026,mTEC-IV
W315027,mTEC-IV
W315029,mTEC-IV
W315033,mTEC-IV
W315035,mTEC-IV
W315037,mTEC-IV
W315038,mTEC-IV
W315040,mTEC-IV
W315041,mTEC-IV
W315042,mTEC-IV
W315044,mTEC-IV
W315045,mTEC-IV
W315047,mTEC-IV
W315048,mTEC-IV
W315050,mTEC-IV
W315051,mTEC-IV
W315052,mTEC-IV
W315055,mTEC-IV
W315056,mTEC-IV
W315059,mTEC-IV
W315063,mTEC-IV
W315065,mTEC-IV
W315070,mTEC-IV
W315075,mTEC-IV
W315076,mTEC-IV
W315077,mTEC-IV
W315082,mTEC-IV
W315083,mTEC-IV
W315084,mTEC-IV
W315086,mTEC-IV
W315087,mTEC-IV
W315088,mTEC-IV
W314715,mTEC-IV
W314716,mTEC-IV
W314718,mTEC-IV
W314723,mTEC-IV
W314725,mTEC-IV
W314731,mTEC-IV
W314733,mTEC-IV
W314741,mTEC-IV
W314745,mTEC-IV
W314751,mTEC-IV
W314754,mTEC-IV
W314755,mTEC-IV
W314757,mTEC-IV
W314765,mTEC-IV
W314770,mTEC-IV
W314772,mTEC-IV
W314774,mTEC-IV
W314775,mTEC-IV
W314778,mTEC-IV
W314785,mTEC-IV
W314788,mTEC-IV
W314793,mTEC-IV
W314796,mTEC-IV
W314799,mTEC-IV
W314800,mTEC-IV
W314803,mTEC-IV
W314804,mTEC-IV
W314805,mTEC-IV
W314806,mTEC-IV
W314809,mTEC-IV
W314811,mTEC-IV
W314812,mTEC-IV
